proxy_start hostname=ganymede http=0.0.0.0:30143 registry=0.0.0.0:31143
registry_add role=decode http=10.1.0.3:33143 zmq=10.1.0.3:34143
registry_add role=prefill http=10.1.0.6:32143 zmq=10.1.0.6:34143
route count=20 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_ddde287f62664aa99bf058acfd989c97 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=21 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_b2af4099034a4798860bbef7540e5c4e prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=22 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_d51d6a90c07a4a71868f604f61d53e6a prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=23 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_f3495687e9cc4440812d6bf6ede0c15f prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=24 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_d1b551f461564fd58d5e0b5e683f8807 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=25 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_8f44b9dce4fb461f80bbbb229924cb2d prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=26 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_4ba89ae0991f4b639fc1fb9db5b290a1 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=27 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_a383d7b801324fd8b6ab10fccffe9b0b prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=28 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_d011c032872843f18baf634a192c6959 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=29 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_f47f0d82bafb45fcb72954e9c4182fa5 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=30 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_5e63ae00e6544ebbb451fb8cb7c5b5ec prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=31 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_2957e2b4492448649a89b7f956a3d702 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=32 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_a0cc376bc0fa41f88370c0c9d412e9a5 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=33 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_5adf98c131fe4e8c8c6adbf6b8240e31 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=34 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_8c9c994196da4676a58156a72a1bcef4 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=35 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_15d6e4753e204aca82a3f85c7cc343cf prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=36 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_429233866976417a9af6c84c98f14048 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=37 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_c48189796c8d437c83d947f6f051db4e prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=38 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_cbf2c3e6f312490cbeadcad21c84ced2 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=39 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_e5cc1d1b1bed4941b6279c4909d65896 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=40 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_0ee1dc022b664afe863a037eb4b17b96 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=41 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_cf050cdb513548ec8b5daf22708b4d39 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=42 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_9b60d96ce33a492a8312a805dc47c001 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=43 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_e88b55fe76d444e7b05abfef3b9af6f0 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=44 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_732f8a714ab640139935de43c54204f6 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=45 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_8bece97df53e4b66951c886a3f5b2163 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=46 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_8760dc4ae3f644d395213d7a5e72bcd9 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=47 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_7b71fa5949b74db5a429b2255bb66bed prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=48 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_088a8277b7214b909277603fa08c7a9c prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=49 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_1b2c7a2bbeae41e1bb944fbe61cbefee prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=50 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_d72d78f4d32b4564b5ce483fda9fbe5a prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=51 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_cd37cf0f662842b48b6971d59b394182 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=52 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_c4e92f4ee1634c588adf97e43ede527a prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=53 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_b930e256be5e4bb7b8ec071e95ab54c2 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=54 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_08459f3b39944c568b636ec401876fc7 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=55 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_456fb642bcce41688368af0fb9a31e7c prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=56 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_408ab9881a9c4a298c859e6417a2b137 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=57 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_ef8a7af84c3d405b97b481a6a16fc70b prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=58 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_c16331a2d0bc4e63a938d920d9860666 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=59 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_2b5a5cd5034f4856b59ea4c0b76b96e6 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=60 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_29b08cf1a6ba45b5914a80dfc0974750 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=61 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_4d364f828ad544f49b48accb9e18f4cb prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=62 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_00639e084018455e9376bb6110a9d825 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=63 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_2897804c99ab4ae6abe362863df94fc3 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=64 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_ba1d5380af284d58a4e2ea731e87e57c prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=65 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_26bb829918104a328ef1eba41180f92f prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=66 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_80a7b96d68ce45519edbe435a8d71066 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=67 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_3ec177454d614adb9cb4f5ac6246c47e prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=68 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_1a642e6f118a422c8c7659b032edbe4b prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=69 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_d65b7ae86a7a4c01881299bd18639a47 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=70 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_fcd1201ad90c4724b3879b344c64039b prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=71 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_b28bb0c3f67e4a32a9de0d4e630cee62 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=72 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_c0ab9c170a864f9db58d130f4e6f13d1 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=73 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_2735aa181d394b69a3185b47d22ce097 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=74 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_ff67bd2db1ed4f0f987418b4111e3827 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=75 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_d1df7ec629084797b0ae44441a7c4db2 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=76 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_3ff54cdfe0684b9aa2ca93090a7a083a prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=77 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_380b2ded63b241639832aaabf8df32be prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=78 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_6d216a306e4c4bb1bd9f4f3eb811b1bb prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=79 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_8c9f86a877564dc695608328e431fa05 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=80 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_4c1995c7cf2b409894f13c3469584df4 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=81 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_67e86bf37b9448e6a9108a503c99cd6e prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=82 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_7e21b01965e54b3f9f997e1a9bcf2883 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=83 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_188c17359a9d4815835ddacb6373021b prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=84 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_340ea232671246e5a6fa2fa21815d92a prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=85 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_65cf351821584c41862a0c1e363d2cd6 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=86 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_2d99007dc33e49959df672867df98840 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=87 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_69f8842433be4c7cae06c4b07a5d6c49 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=88 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_02775a3204f94e6091dbbfb03efea938 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=89 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_66236de37dae43df992fa894935baefe prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=90 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_2ccde3cfe90f40fd9d6ca4c1d16b8843 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=91 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_127699846dee46a3863bec0a346395f8 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=92 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_51ce6fe5c11b42d98a2566338a5fea4a prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=93 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_21ac4c2698b143cabefe946752371f60 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=94 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_3e325dad4f4b4a8195a1bed91d93a434 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=95 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_d87f8615a5a64b31aacc29febedeb1ec prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=96 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_9de89ea11e3047df890a4efdb5d7df2d prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=97 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_a659d458fc244165a681c5b795a75e9d prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=98 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_0fdc947affef41a9a8c59126effa5bf5 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=99 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_a8957f9ed16b48f7a70d2b1326abacb3 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=100 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_0e31fb35a1a94a319d1c126f220f13c6 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=101 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_144bcd839bfd4d19ac61cabc2cc71f0e prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=102 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_582da184eab442c98920a93269034724 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=103 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_eb59617e41464750ac64a4152e4fc9f6 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=104 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_ca4754ea968a469595834177c7a0e799 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=105 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_52cced310c1040fb87ea19e8c4fd10a0 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=106 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_e74060d3ef074f2da2face33af6c0072 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=107 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_004c8e58708c421797a97f827ae67cc3 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=108 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_97097bf781834b308152e29b00133c49 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=109 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_a967dc9dd04a46b6b322f63667bad6d2 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=110 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_f893cae3791b4eb4a51d1247ac03228e prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=111 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_9d8f0a07d33f48399f74916994aab929 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=112 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_1e293ad31e1e4777b70f381f24bef7ee prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=113 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_2eab4baef75d4985831ee25b1c4bc73f prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=114 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_65fe79a310814230bfd61a881f48fee6 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=115 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_968cd914a4e84b60a869920b171c81e4 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=116 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_bf9048665fa440298a9ceeb709ccccd0 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=117 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_012d9018587a4ac6aa298136f66625e5 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=118 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_4fd5cf811af24845a19cbb2a7d2fc5c6 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=119 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_511bb8b8080147999f1b350cd75d6d8b prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=120 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_3717aa09c6bb4a8c8f9e47abb4aaf7d1 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=121 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_58202ba13ec24f6b8be1927efc0b1728 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=122 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_fe0ab8b925474fed8cca1697f061122e prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=123 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_b03a6173acc6492599e5375f68c7383b prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=124 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_826e7387dccb4735aac6ae9e1a8dcb6b prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=125 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_9ae76ca7d5344653aa8dee2a64445578 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=126 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_499d3a3ec7fb4fe993afb548449fdc0f prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=127 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_51b38716293c40dbb9b8e145c9a46e79 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=128 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_c71be1c1acd14f3a8196898d4125f229 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=129 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_e46b5c04d3654cb79ebf20d49390adef prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=130 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_06890147bca7419bab5a5e368c3e6664 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=131 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_a0c93097f1ca41baa86991adaa44c0a0 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=132 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_5726843e05cf4917be8239a38b2bafe9 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
route count=133 request_id=___prefill_addr_10.1.0.6:34143___decode_addr_10.1.0.3:34143_0955caf6dd564fab8a07d8a6c82f0769 prefill_http=10.1.0.6:32143 decode_http=10.1.0.3:33143
proxy_error type=RuntimeError error=upstream status=400 url=http://10.1.0.6:32143/v1/completions body={"error":{"message":"This model's maximum context length is 4095 tokens. However, your request has 4096 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=4096)","type":"BadRequestError","param":"input_tokens","code":400}}
Traceback (most recent call last):
  File "/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260722-161842-luqia-vllm-scheduler-saturation-gate/pd_proxy.py", line 159, in handle_request
    async for _ in forward_request(
  File "/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260722-161842-luqia-vllm-scheduler-saturation-gate/pd_proxy.py", line 91, in forward_request
    raise RuntimeError(f"upstream status={response.status} url={url} body={body}")
