unix_ns,monotonic_ns,window_id,request_id,attempt,event,http_status,detail
1785490316501983037,1115686545513169,baseline_3m,baseline_3m-00008-97f80e7fb37d,1,attempt_send,,
1785490316530277463,1115686573807892,baseline_3m,baseline_3m-00006-b4f4f03903b7,1,request_complete,200,
1785490316585286830,1115686628816702,baseline_3m,baseline_3m-00008-97f80e7fb37d,1,response_headers,200,response_request_id=baseline_3m-00008-97f80e7fb37d
1785490316751165609,1115686794695376,baseline_3m,baseline_3m-00008-97f80e7fb37d,1,first_token,,
1785490317496273748,1115687539803600,baseline_3m,baseline_3m-00009-a5495cebea70,0,client_ready,,
1785490317500069796,1115687543599834,baseline_3m,baseline_3m-00009-a5495cebea70,0,semaphore_acquired,,
1785490317502501009,1115687546030946,baseline_3m,baseline_3m-00009-a5495cebea70,1,attempt_send,,
1785490317511077130,1115687554607169,baseline_3m,baseline_3m-00007-7cf7d09d714c,1,request_complete,200,
1785490317594016776,1115687637546588,baseline_3m,baseline_3m-00009-a5495cebea70,1,response_headers,200,response_request_id=baseline_3m-00009-a5495cebea70
1785490317730498379,1115687774028371,baseline_3m,baseline_3m-00009-a5495cebea70,1,first_token,,
1785490318496326438,1115688539856173,baseline_3m,baseline_3m-00010-5e7cf03b1add,0,client_ready,,
1785490318500398464,1115688543928517,baseline_3m,baseline_3m-00010-5e7cf03b1add,0,semaphore_acquired,,
1785490318503557510,1115688547087618,baseline_3m,baseline_3m-00010-5e7cf03b1add,1,attempt_send,,
1785490318552636367,1115688596167095,baseline_3m,baseline_3m-00008-97f80e7fb37d,1,request_complete,200,
1785490318590818356,1115688634348174,baseline_3m,baseline_3m-00010-5e7cf03b1add,1,response_headers,200,response_request_id=baseline_3m-00010-5e7cf03b1add
1785490318766882739,1115688810412604,baseline_3m,baseline_3m-00010-5e7cf03b1add,1,first_token,,
1785490319495656967,1115689539186735,baseline_3m,baseline_3m-00011-40f92303f5ed,0,client_ready,,
1785490319499290577,1115689542820605,baseline_3m,baseline_3m-00011-40f92303f5ed,0,semaphore_acquired,,
1785490319501666381,1115689545196169,baseline_3m,baseline_3m-00011-40f92303f5ed,1,attempt_send,,
1785490319528651348,1115689572181783,baseline_3m,baseline_3m-00009-a5495cebea70,1,request_complete,200,
1785490319594426505,1115689637956307,baseline_3m,baseline_3m-00011-40f92303f5ed,1,response_headers,200,response_request_id=baseline_3m-00011-40f92303f5ed
1785490319745284395,1115689788814140,baseline_3m,baseline_3m-00011-40f92303f5ed,1,first_token,,
1785490320496014429,1115690539544139,baseline_3m,baseline_3m-00012-227172c77a36,0,client_ready,,
1785490320499602815,1115690543132784,baseline_3m,baseline_3m-00012-227172c77a36,0,semaphore_acquired,,
1785490320501507966,1115690545037700,baseline_3m,baseline_3m-00012-227172c77a36,1,attempt_send,,
1785490320564214938,1115690607745396,baseline_3m,baseline_3m-00010-5e7cf03b1add,1,request_complete,200,
1785490320585687719,1115690629217594,baseline_3m,baseline_3m-00012-227172c77a36,1,response_headers,200,response_request_id=baseline_3m-00012-227172c77a36
1785490320725695975,1115690769225883,baseline_3m,baseline_3m-00012-227172c77a36,1,first_token,,
1785490321495903719,1115691539433436,baseline_3m,baseline_3m-00013-c59e3a306248,0,client_ready,,
1785490321499182076,1115691542712142,baseline_3m,baseline_3m-00013-c59e3a306248,0,semaphore_acquired,,
1785490321501134821,1115691544664744,baseline_3m,baseline_3m-00013-c59e3a306248,1,attempt_send,,
1785490321542633567,1115691586163887,baseline_3m,baseline_3m-00011-40f92303f5ed,1,request_complete,200,
1785490321591180044,1115691634709876,baseline_3m,baseline_3m-00013-c59e3a306248,1,response_headers,200,response_request_id=baseline_3m-00013-c59e3a306248
1785490321762980000,1115691806509821,baseline_3m,baseline_3m-00013-c59e3a306248,1,first_token,,
1785490322496091273,1115692539621131,baseline_3m,baseline_3m-00014-fc6523ca10ba,0,client_ready,,
1785490322499822117,1115692543352155,baseline_3m,baseline_3m-00014-fc6523ca10ba,0,semaphore_acquired,,
1785490322501882429,1115692545412098,baseline_3m,baseline_3m-00014-fc6523ca10ba,1,attempt_send,,
1785490322518707133,1115692562236981,baseline_3m,baseline_3m-00012-227172c77a36,1,request_complete,200,
1785490322585843881,1115692629373706,baseline_3m,baseline_3m-00014-fc6523ca10ba,1,response_headers,200,response_request_id=baseline_3m-00014-fc6523ca10ba
1785490322742544714,1115692786074499,baseline_3m,baseline_3m-00014-fc6523ca10ba,1,first_token,,
1785490323496042730,1115693539572465,baseline_3m,baseline_3m-00015-e5fe4a09a0d9,0,client_ready,,
1785490323500021982,1115693543551970,baseline_3m,baseline_3m-00015-e5fe4a09a0d9,0,semaphore_acquired,,
1785490323501996785,1115693545526900,baseline_3m,baseline_3m-00015-e5fe4a09a0d9,1,attempt_send,,
1785490323562375803,1115693605906438,baseline_3m,baseline_3m-00013-c59e3a306248,1,request_complete,200,
1785490323600795135,1115693644324927,baseline_3m,baseline_3m-00015-e5fe4a09a0d9,1,response_headers,200,response_request_id=baseline_3m-00015-e5fe4a09a0d9
1785490323779105859,1115693822635619,baseline_3m,baseline_3m-00015-e5fe4a09a0d9,1,first_token,,
1785490324496314305,1115694539844158,baseline_3m,baseline_3m-00016-d11c6522a6e7,0,client_ready,,
1785490324499928179,1115694543458163,baseline_3m,baseline_3m-00016-d11c6522a6e7,0,semaphore_acquired,,
1785490324502054294,1115694545584453,baseline_3m,baseline_3m-00016-d11c6522a6e7,1,attempt_send,,
1785490324538970461,1115694582500891,baseline_3m,baseline_3m-00014-fc6523ca10ba,1,request_complete,200,
1785490324593387243,1115694636917556,baseline_3m,baseline_3m-00016-d11c6522a6e7,1,response_headers,200,response_request_id=baseline_3m-00016-d11c6522a6e7
1785490324759190303,1115694802720048,baseline_3m,baseline_3m-00016-d11c6522a6e7,1,first_token,,
1785490325495792195,1115695539322084,baseline_3m,baseline_3m-00017-a7da2b62b350,0,client_ready,,
1785490325499836373,1115695543366461,baseline_3m,baseline_3m-00017-a7da2b62b350,0,semaphore_acquired,,
1785490325501841168,1115695545370796,baseline_3m,baseline_3m-00017-a7da2b62b350,1,attempt_send,,
1785490325576563125,1115695620093630,baseline_3m,baseline_3m-00015-e5fe4a09a0d9,1,request_complete,200,
1785490325591258528,1115695634788457,baseline_3m,baseline_3m-00017-a7da2b62b350,1,response_headers,200,response_request_id=baseline_3m-00017-a7da2b62b350
1785490325738165198,1115695781695049,baseline_3m,baseline_3m-00017-a7da2b62b350,1,first_token,,
1785490326495594619,1115696539124667,baseline_3m,baseline_3m-00018-aa9726007bd2,0,client_ready,,
1785490326499323155,1115696542853210,baseline_3m,baseline_3m-00018-aa9726007bd2,0,semaphore_acquired,,
1785490326501883575,1115696545413670,baseline_3m,baseline_3m-00018-aa9726007bd2,1,attempt_send,,
1785490326560363539,1115696603894051,baseline_3m,baseline_3m-00016-d11c6522a6e7,1,request_complete,200,
1785490326598461730,1115696641991555,baseline_3m,baseline_3m-00018-aa9726007bd2,1,response_headers,200,response_request_id=baseline_3m-00018-aa9726007bd2
1785490326775766779,1115696819296591,baseline_3m,baseline_3m-00018-aa9726007bd2,1,first_token,,
1785490327495750549,1115697539280404,baseline_3m,baseline_3m-00019-2d27eeec2492,0,client_ready,,
1785490327499773092,1115697543303229,baseline_3m,baseline_3m-00019-2d27eeec2492,0,semaphore_acquired,,
1785490327502112481,1115697545642635,baseline_3m,baseline_3m-00019-2d27eeec2492,1,attempt_send,,
1785490327535384804,1115697578915229,baseline_3m,baseline_3m-00017-a7da2b62b350,1,request_complete,200,
1785490327598770721,1115697642300718,baseline_3m,baseline_3m-00019-2d27eeec2492,1,response_headers,200,response_request_id=baseline_3m-00019-2d27eeec2492
1785490327755852546,1115697799382404,baseline_3m,baseline_3m-00019-2d27eeec2492,1,first_token,,
1785490328496155322,1115698539685250,baseline_3m,baseline_3m-00020-cc6f966e13b9,0,client_ready,,
1785490328499642189,1115698543172216,baseline_3m,baseline_3m-00020-cc6f966e13b9,0,semaphore_acquired,,
1785490328501409556,1115698544939054,baseline_3m,baseline_3m-00020-cc6f966e13b9,1,attempt_send,,
1785490328573790334,1115698617320611,baseline_3m,baseline_3m-00018-aa9726007bd2,1,request_complete,200,
1785490328602907562,1115698646437394,baseline_3m,baseline_3m-00020-cc6f966e13b9,1,response_headers,200,response_request_id=baseline_3m-00020-cc6f966e13b9
1785490328736574834,1115698780104739,baseline_3m,baseline_3m-00020-cc6f966e13b9,1,first_token,,
1785490329495337312,1115699538867357,baseline_3m,baseline_3m-00021-b2d762ae3fd3,0,client_ready,,
1785490329498940235,1115699542470214,baseline_3m,baseline_3m-00021-b2d762ae3fd3,0,semaphore_acquired,,
1785490329500972218,1115699544502409,baseline_3m,baseline_3m-00021-b2d762ae3fd3,1,attempt_send,,
1785490329556374582,1115699599905043,baseline_3m,baseline_3m-00019-2d27eeec2492,1,request_complete,200,
1785490329590885938,1115699634415706,baseline_3m,baseline_3m-00021-b2d762ae3fd3,1,response_headers,200,response_request_id=baseline_3m-00021-b2d762ae3fd3
1785490329774656275,1115699818186142,baseline_3m,baseline_3m-00021-b2d762ae3fd3,1,first_token,,
1785490330496061705,1115700539591510,baseline_3m,baseline_3m-00022-e686ad411dd5,0,client_ready,,
1785490330499919029,1115700543449174,baseline_3m,baseline_3m-00022-e686ad411dd5,0,semaphore_acquired,,
1785490330502333831,1115700545863630,baseline_3m,baseline_3m-00022-e686ad411dd5,1,attempt_send,,
1785490330535024029,1115700578554428,baseline_3m,baseline_3m-00020-cc6f966e13b9,1,request_complete,200,
1785490330606753172,1115700650282937,baseline_3m,baseline_3m-00022-e686ad411dd5,1,response_headers,200,response_request_id=baseline_3m-00022-e686ad411dd5
1785490330752871108,1115700796400990,baseline_3m,baseline_3m-00022-e686ad411dd5,1,first_token,,
1785490331495824147,1115701539353919,baseline_3m,baseline_3m-00023-ba59c9226aec,0,client_ready,,
1785490331499002128,1115701542532116,baseline_3m,baseline_3m-00023-ba59c9226aec,0,semaphore_acquired,,
1785490331500606891,1115701544136529,baseline_3m,baseline_3m-00023-ba59c9226aec,1,attempt_send,,
1785490331570654977,1115701614185422,baseline_3m,baseline_3m-00021-b2d762ae3fd3,1,request_complete,200,
1785490331588808162,1115701632338040,baseline_3m,baseline_3m-00023-ba59c9226aec,1,response_headers,200,response_request_id=baseline_3m-00023-ba59c9226aec
